br.com.camiloporto.scalability.client.ClientRequest | Thread-43 | Wed Sep 20 21:58:08 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-81 | Wed Sep 20 21:58:08 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-82 | Wed Sep 20 21:58:09 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-83 | Wed Sep 20 21:58:10 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-44 | Wed Sep 20 21:58:10 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-84 | Wed Sep 20 21:58:10 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-85 | Wed Sep 20 21:58:11 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-45 | Wed Sep 20 21:58:11 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-86 | Wed Sep 20 21:58:12 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-46 | Wed Sep 20 21:58:12 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-47 | Wed Sep 20 21:58:12 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-87 | Wed Sep 20 21:58:12 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-88 | Wed Sep 20 21:58:12 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-89 | Wed Sep 20 21:58:13 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-48 | Wed Sep 20 21:58:13 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-90 | Wed Sep 20 21:58:14 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-49 | Wed Sep 20 21:58:14 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-50 | Wed Sep 20 21:58:14 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-91 | Wed Sep 20 21:58:14 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-92 | Wed Sep 20 21:58:15 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-93 | Wed Sep 20 21:58:16 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-94 | Wed Sep 20 21:58:17 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-51 | Wed Sep 20 21:58:17 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-95 | Wed Sep 20 21:58:17 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-52 | Wed Sep 20 21:58:17 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-96 | Wed Sep 20 21:58:18 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-97 | Wed Sep 20 21:58:18 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-98 | Wed Sep 20 21:58:19 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-99 | Wed Sep 20 21:58:19 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-100 | Wed Sep 20 21:58:20 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-53 | Wed Sep 20 21:58:20 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-101 | Wed Sep 20 21:58:20 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-55 | Wed Sep 20 21:58:20 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-54 | Wed Sep 20 21:58:20 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-102 | Wed Sep 20 21:58:20 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-56 | Wed Sep 20 21:58:21 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-103 | Wed Sep 20 21:58:21 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-104 | Wed Sep 20 21:58:21 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-105 | Wed Sep 20 21:58:22 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-57 | Wed Sep 20 21:58:22 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-106 | Wed Sep 20 21:58:23 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-58 | Wed Sep 20 21:58:23 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-107 | Wed Sep 20 21:58:23 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-59 | Wed Sep 20 21:58:23 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-108 | Wed Sep 20 21:58:24 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-109 | Wed Sep 20 21:58:25 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-110 | Wed Sep 20 21:58:25 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-111 | Wed Sep 20 21:58:26 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-60 | Wed Sep 20 21:58:26 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-61 | Wed Sep 20 21:58:26 BRT 2017 | received response: 257838
